Circuit: * D:\Code\PSPICE\Schematic\integrator.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 +to 0.00544537
Heightened Def Con from 0.00544537 +to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 to 0.00544537
Heightened Def Con from 0.00544537 +++++++++++++++++++++to 0.00544537
Heightened Def Con from 0.00546656 +++to 0.00546656
Heightened Def Con from 0.00546656 +to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 ++++to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 ++to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 +to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 +to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
Heightened Def Con from 0.00546656 +to 0.00546656
Heightened Def Con from 0.00546656 to 0.00546656
